organ	activity_est
kidney_left	7177.58
kidney_right	7625.72
liver	5053.29
prostate	4722.26
small_bowel	4327.19
spleen	3824.91
brain	18966.8
colon	3038.99
duodenum	14431.3
esophagus	0
gallbladder	0
heart	16673.7
lung_lower_lobe_left	5302.67
lung_lower_lobe_right	1443.42
lung_middle_lobe_right	61.8309
lung_upper_lobe_left	3.26036
lung_upper_lobe_right	1117.29
pancreas	3051.32
spinal_cord	27091.8
stomach	6524.98
thyroid_gland	32853.7
urinary_bladder	16349.7
bones	4933.18
muscles	1093.37
others	1304.82
